name,slug,rule,movable,gender,diminutives,confidence,note
Ionela,ionela,01-07,false,f,Ela; Nela,established,
Ionuț,ionut,01-07,false,m,Nuțu; Ionuțu,established,
Irina,irina,05-05,false,f,Iri; Rina,established,
Mădălina,madalina,07-22,false,f,Mada,convention,Romanian derivative of Magdalena; root-name convention.
Magdalena,magdalena,07-22,false,f,Magda,established,
Marcu,marcu,04-25,false,m,,established,
Maria,maria,08-15,false,f,Mărioara; Mia; Maricica; Măriuța,established,
Marian,marian,08-15,false,m,Mari; Marinel,established,
Mariana,mariana,08-15,false,f,Mari; Mariuca; Mara,established,
Marinela,marinela,08-15,false,f,Nela,established,
Matei,matei,11-16,false,m,,established,
Maxim,maxim,01-21,false,m,,established,
Mihaela,mihaela,11-08,false,f,Ela; Miki,established,
Mihai,mihai,11-08,false,m,Mișu; Mihăiță,established,
Mihail,mihail,11-08,false,m,Mișu,established,
Nicolae,nicolae,12-06,false,m,Nae; Nicu; Nicușor,established,
Nicoleta,nicoleta,12-06,false,f,Nico; Nicuța; Coca,convention,"Feminine of Nicolae, paired with Sf. Nicolae (12-06) by root-name convention, not an independently attested female saint."
Niculina,niculina,12-06,false,f,Nina; Lina,convention,Feminine of Nicolae; same convention as Nicoleta.
Oana,oana,01-07,false,f,Oanca,convention,"Treated in Romanian practice as a short form of Ioana (01-07). One source (calendarbisericesc.ro) instead cites 02 December, tied to a different sinaxar entry — sources disagree, flagging."
Pantelimon,pantelimon,07-27,false,m,,established,
Parascheva,parascheva,10-14,false,f,Chiva,established,"The sinaxar spelling of the name already seeded as Paraschiva; both forms are in common use, so both are listed."
Paraschiva,paraschiva,10-14,false,f,Chiva; Veta; Vetuța,established,
Pavel,pavel,06-29,false,m,,established,
Petre,petre,06-29,false,m,Petrache,convention,Romanian variant of Petru; Sf. Ap. Petru și Pavel (06-29).
Petru,petru,06-29,false,m,Petrică; Petrișor,established,
Radu,radu,08-16,false,m,Răduț,established,"Feast of the Brâncoveanu martyrs (Sf. Constantin Brâncoveanu și fiii săi, incl. Radu) — 16 August."
Sânziana,sanziana,06-24,false,f,,convention,"Folk name tied to Sânziene, numele popular al sărbătorii Nașterea Sf. Ioan Botezătorul (06-24). Not a sinaxar entry."
Sava,sava,12-05,false,m,,established,
Simion,simion,02-03,false,m,Simi,convention,Romanian form of Simeon; Sf. Simeon și Ana (02-03).
Simona,simona,09-01,false,f,Mona; Simi,established,
Sofia,sofia,09-17,false,f,Sofi,established,
Spiridon,spiridon,12-12,false,m,Spiru,established,
Ștefan,stefan,12-27,false,m,Ștefănel; Fane,established,
Ștefania,stefania,12-27,false,f,Ștefi; Fani,convention,Feminine of Ștefan; paired with Sf. Arhidiacon Ștefan (12-27).
Tatiana,tatiana,01-12,false,f,Tati; Tania,established,
Teodor,teodor,02-17,false,m,Doru; Teo,established,Sf. Mc. Teodor Tiron (02-17). A second Sf. Teodor Stratilat falls on 08 February — sources split between the two; 17 February is the more widely cited nameday.
Teodora,teodora,02-17,false,f,Teo; Dora,convention,Feminine of Teodor; root-name convention.
Trifon,trifon,02-01,false,m,,established,
Varvara,varvara,12-04,false,f,,established,
Vasile,vasile,01-01,false,m,Vasilică; Silică; Lică,established,
Vasilica,vasilica,01-01,false,f,Sica,convention,"Feminine of Vasile; paired with Sf. Vasile cel Mare (01-01) by root-name convention, not an independently attested saint."
Victor,victor,11-11,false,m,Vicu,established,
Viorel,viorel,easter-7,true,m,,established,"Part of the 'Florii' group of flower-derived names, alongside Florin and Florentina."
Viorica,viorica,easter-7,true,f,Vio,established,"Part of the 'Florii' group of flower-derived names, alongside Florin and Florentina."
